"date","Item","Element","Value"
2010-02-09,"CRUDE OIL, LIGHT SWEET - NYME","Smart money net position (% of OI)",-17.2
2010-02-09,"FEEDER CATTLE - CME","Smart money net position (% of OI)",-7.6
2010-02-09,"FRZN CONCENTRATED ORANGE JUICE - ICE","Smart money net position (% of OI)",-57.1
2010-02-09,"GOLD - CE","Smart money net position (% of OI)",-31.5
2010-02-09,"LEAN HOGS - CME","Smart money net position (% of OI)",-44.5
2010-02-09,"LIVE CATTLE - CME","Smart money net position (% of OI)",-45.1
2010-02-09,"MILK, Class III - CME","Smart money net position (% of OI)",27.7
2010-02-09,"NATURAL GAS - NYME","Smart money net position (% of OI)",-4.2
2010-02-09,"PALLADIUM - NYME","Smart money net position (% of OI)",-58.2
2010-02-09,"PLATINUM - NYME","Smart money net position (% of OI)",-43
2010-02-09,"RANDOM LENGTH LUMBER - CME","Smart money net position (% of OI)",-52.5
2010-02-09,"ROUGH RICE - CBoT","Smart money net position (% of OI)",-48.1
2010-02-09,"SILVER - CE","Smart money net position (% of OI)",-40.7
2010-02-09,"SOYBEAN MEAL - CBoT","Smart money net position (% of OI)",-11.6
2010-02-09,"SOYBEAN OIL - CBoT","Smart money net position (% of OI)",-33.4
2010-02-09,"SOYBEANS - CBoT","Smart money net position (% of OI)",-17.4
2010-02-09,"SUGAR NO. 11 - ICE","Smart money net position (% of OI)",-9
2010-02-09,"COCOA - ICE","Speculators net position (% of OI)",36.8
2010-02-09,"COFFEE C - ICE","Speculators net position (% of OI)",39.2
2010-02-09,"COPPER-GRADE #1 - CE","Speculators net position (% of OI)",41.4
2010-02-09,"CORN - CBoT","Speculators net position (% of OI)",27.7
2010-02-09,"COTTON NO. 2 - ICE","Speculators net position (% of OI)",44.6
2010-02-09,"CRUDE OIL, LIGHT SWEET - NYME","Speculators net position (% of OI)",17.2
2010-02-09,"FEEDER CATTLE - CME","Speculators net position (% of OI)",7.5
2010-02-09,"FRZN CONCENTRATED ORANGE JUICE - ICE","Speculators net position (% of OI)",57.1
2010-02-09,"GOLD - CE","Speculators net position (% of OI)",31.4
2010-02-09,"LEAN HOGS - CME","Speculators net position (% of OI)",44.6
2010-02-09,"LIVE CATTLE - CME","Speculators net position (% of OI)",45.1
2010-02-09,"MILK, Class III - CME","Speculators net position (% of OI)",-27.7
2010-02-09,"NATURAL GAS - NYME","Speculators net position (% of OI)",4.2
2010-02-09,"PALLADIUM - NYME","Speculators net position (% of OI)",58.1
2010-02-09,"PLATINUM - NYME","Speculators net position (% of OI)",43
2010-02-09,"RANDOM LENGTH LUMBER - CME","Speculators net position (% of OI)",52.5
2010-02-09,"ROUGH RICE - CBoT","Speculators net position (% of OI)",48.1
2010-02-09,"SILVER - CE","Speculators net position (% of OI)",40.6
2010-02-09,"SOYBEAN MEAL - CBoT","Speculators net position (% of OI)",11.5
2010-02-09,"SOYBEAN OIL - CBoT","Speculators net position (% of OI)",33.2
2010-02-09,"SOYBEANS - CBoT","Speculators net position (% of OI)",17.5
2010-02-09,"SUGAR NO. 11 - ICE","Speculators net position (% of OI)",9.1
2010-02-16,"COCOA - ICE","Smart money net position (% of OI)",-34.7
2010-02-16,"COFFEE C - ICE","Smart money net position (% of OI)",-40.8
2010-02-16,"COPPER-GRADE #1 - CE","Smart money net position (% of OI)",-39.9
2010-02-16,"CORN - CBoT","Smart money net position (% of OI)",-27.2
2010-02-16,"COTTON NO. 2 - ICE","Smart money net position (% of OI)",-50.4
2010-02-16,"CRUDE OIL, LIGHT SWEET - NYME","Smart money net position (% of OI)",-17.3
2010-02-16,"FEEDER CATTLE - CME","Smart money net position (% of OI)",-8.4
2010-02-16,"FRZN CONCENTRATED ORANGE JUICE - ICE","Smart money net position (% of OI)",-55.8
2010-02-16,"GOLD - CE","Smart money net position (% of OI)",-29.5
2010-02-16,"LEAN HOGS - CME","Smart money net position (% of OI)",-45.7
2010-02-16,"LIVE CATTLE - CME","Smart money net position (% of OI)",-46
2010-02-16,"MILK, Class III - CME","Smart money net position (% of OI)",28
2010-02-16,"NATURAL GAS - NYME","Smart money net position (% of OI)",-4
2010-02-16,"PALLADIUM - NYME","Smart money net position (% of OI)",-58
2010-02-16,"PLATINUM - NYME","Smart money net position (% of OI)",-44.1
2010-02-16,"RANDOM LENGTH LUMBER - CME","Smart money net position (% of OI)",-54.6
2010-02-16,"ROUGH RICE - CBoT","Smart money net position (% of OI)",-46.8
2010-02-16,"SILVER - CE","Smart money net position (% of OI)",-39.9
2010-02-16,"SOYBEAN MEAL - CBoT","Smart money net position (% of OI)",-13.3
2010-02-16,"SOYBEAN OIL - CBoT","Smart money net position (% of OI)",-38
2010-02-16,"SOYBEANS - CBoT","Smart money net position (% of OI)",-20.6
2010-02-16,"SUGAR NO. 11 - ICE","Smart money net position (% of OI)",-13.1
2010-02-16,"COCOA - ICE","Speculators net position (% of OI)",34.7
2010-02-16,"COFFEE C - ICE","Speculators net position (% of OI)",40.9
2010-02-16,"COPPER-GRADE #1 - CE","Speculators net position (% of OI)",40
2010-02-16,"CORN - CBoT","Speculators net position (% of OI)",27.2
2010-02-16,"COTTON NO. 2 - ICE","Speculators net position (% of OI)",50.6
2010-02-16,"CRUDE OIL, LIGHT SWEET - NYME","Speculators net position (% of OI)",17.3
2010-02-16,"FEEDER CATTLE - CME","Speculators net position (% of OI)",8.5
2010-02-16,"FRZN CONCENTRATED ORANGE JUICE - ICE","Speculators net position (% of OI)",55.8
2010-02-16,"GOLD - CE","Speculators net position (% of OI)",29.6
2010-02-16,"LEAN HOGS - CME","Speculators net position (% of OI)",45.7
2010-02-16,"LIVE CATTLE - CME","Speculators net position (% of OI)",46
2010-02-16,"MILK, Class III - CME","Speculators net position (% of OI)",-28.1
2010-02-16,"NATURAL GAS - NYME","Speculators net position (% of OI)",4.1
2010-02-16,"PALLADIUM - NYME","Speculators net position (% of OI)",58.1
2010-02-16,"PLATINUM - NYME","Speculators net position (% of OI)",44.2
2010-02-16,"RANDOM LENGTH LUMBER - CME","Speculators net position (% of OI)",54.8
2010-02-16,"ROUGH RICE - CBoT","Speculators net position (% of OI)",46.8
2010-02-16,"SILVER - CE","Speculators net position (% of OI)",40
2010-02-16,"SOYBEAN MEAL - CBoT","Speculators net position (% of OI)",13.4
2010-02-16,"SOYBEAN OIL - CBoT","Speculators net position (% of OI)",38.1
2010-02-16,"SOYBEANS - CBoT","Speculators net position (% of OI)",20.6
2010-02-16,"SUGAR NO. 11 - ICE","Speculators net position (% of OI)",13.1
2010-02-23,"COCOA - ICE","Smart money net position (% of OI)",-34.5
2010-02-23,"COFFEE C - ICE","Smart money net position (% of OI)",-40.1
2010-02-23,"COPPER-GRADE #1 - CE","Smart money net position (% of OI)",-42.8
2010-02-23,"CORN - CBoT","Smart money net position (% of OI)",-29.5
2010-02-23,"COTTON NO. 2 - ICE","Smart money net position (% of OI)",-56.8
2010-02-23,"CRUDE OIL, LIGHT SWEET - NYME","Smart money net position (% of OI)",-17.8
2010-02-23,"FEEDER CATTLE - CME","Smart money net position (% of OI)",-11.2
2010-02-23,"FRZN CONCENTRATED ORANGE JUICE - ICE","Smart money net position (% of OI)",-51.4
2010-02-23,"GOLD - CE","Smart money net position (% of OI)",-33.3
2010-02-23,"LEAN HOGS - CME","Smart money net position (% of OI)",-46.1
2010-02-23,"LIVE CATTLE - CME","Smart money net position (% of OI)",-43.9
2010-02-23,"MILK, Class III - CME","Smart money net position (% of OI)",30
2010-02-23,"NATURAL GAS - NYME","Smart money net position (% of OI)",-3.2
2010-02-23,"PALLADIUM - NYME","Smart money net position (% of OI)",-58.7
2010-02-23,"PLATINUM - NYME","Smart money net position (% of OI)",-44.5
2010-02-23,"RANDOM LENGTH LUMBER - CME","Smart money net position (% of OI)",-58
2010-02-23,"ROUGH RICE - CBoT","Smart money net position (% of OI)",-35.1
2010-02-23,"SILVER - CE","Smart money net position (% of OI)",-41.3
2010-02-23,"SOYBEAN MEAL - CBoT","Smart money net position (% of OI)",-15.7
2010-02-23,"SOYBEAN OIL - CBoT","Smart money net position (% of OI)",-38.7
2010-02-23,"SOYBEANS - CBoT","Smart money net position (% of OI)",-22.2
2010-02-23,"SUGAR NO. 11 - ICE","Smart money net position (% of OI)",-18.2
2010-02-23,"COCOA - ICE","Speculators net position (% of OI)",34.4
2010-02-23,"COFFEE C - ICE","Speculators net position (% of OI)",40.1
2010-02-23,"COPPER-GRADE #1 - CE","Speculators net position (% of OI)",42.9
2010-02-23,"CORN - CBoT","Speculators net position (% of OI)",29.4
2010-02-23,"COTTON NO. 2 - ICE","Speculators net position (% of OI)",57
2010-02-23,"CRUDE OIL, LIGHT SWEET - NYME","Speculators net position (% of OI)",17.7
2010-02-23,"FEEDER CATTLE - CME","Speculators net position (% of OI)",11.1
2010-02-23,"FRZN CONCENTRATED ORANGE JUICE - ICE","Speculators net position (% of OI)",51.3
2010-02-23,"GOLD - CE","Speculators net position (% of OI)",33.4
2010-02-23,"LEAN HOGS - CME","Speculators net position (% of OI)",46.1
2010-02-23,"LIVE CATTLE - CME","Speculators net position (% of OI)",43.9
2010-02-23,"MILK, Class III - CME","Speculators net position (% of OI)",-30.1
2010-02-23,"NATURAL GAS - NYME","Speculators net position (% of OI)",3.2
2010-02-23,"PALLADIUM - NYME","Speculators net position (% of OI)",58.7
2010-02-23,"PLATINUM - NYME","Speculators net position (% of OI)",44.5
2010-02-23,"RANDOM LENGTH LUMBER - CME","Speculators net position (% of OI)",58
